"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"EMPTY"	0	0.232	0	0	0	0	6.794
"YER065C"	-0.01	0.4	0.465	0.309	0.446	0.68	4.354
"YKR097W"	-0.124	-0.13	0.224	0.146	0.074	0.553	4.283
"YLR377C"	-0.247	0.057	0.197	-0.045	0.266	0.667	4.28
"YKL217W"	-0.471	-0.046	0.063	-0.161	0.281	3.613	4.249
"YJR095W"	-0.755	-0.41	0.89	0.073	0.154	1.834	4.24
"YAL054C"	-1.07	-0.514	-0.22	-0.012	-0.215	1.741	4.239
"YFL014W"	-0.078	0.5	0.561	1.766	2.508	3.716	3.849
"YKL187C"	0.051	0.146	0.189	0.035	-0.442	2.306	3.834
"YER150W"	0.049	0.282	1.191	1.863	2.101	3.847	3.832
"YML128C"	-0.023	0.154	1.061	1.999	1.735	3.828	3.824
"YNL194C"	-0.199	-0.075	0.126	-0.105	0.819	4.147	3.796
"YBL015W"	-0.049	0.287	-0.066	0.301	0.623	2.922	3.768
"YLR174W"	-0.092	-0.386	-1.758	0.347	0.328	1.654	3.768
"YNL117W"	-0.227	-0.274	0.343	-0.104	0.111	0.92	3.696
"YCR021C"	-0.749	-0.037	1.889	1.698	1.417	3.906	3.685
"YDR171W"	0.178	0.277	0.333	1.174	1.295	3.789	3.677
"YNR001C"	0.253	0.489	0.565	0.949	1.521	2.825	3.667
"YMR250W"	-0.024	0.448	1.024	2.069	2.888	3.373	3.642
"YER024W"	-0.222	-0.004	0.232	-0.196	-0.843	1.565	3.635
"YKL109W"	0.258	0.703	1.014	0.995	1.215	2.962	3.603
"YJL089W"	-0.651	-0.366	-0.212	-0.173	0.616	1.325	3.563
"YHR096C"	-0.163	-0.275	0.616	0.602	-0.31	1.841	3.498
"YDL204W"	-0.328	1.063	-0.62	0.551	0.68	4.234	3.477
"YBL064C"	0.413	0.229	0.651	1.127	1.146	3.796	3.437
"YIL125W"	0.284	0.581	0.304	0.322	0.829	1.57	3.421
"YLR149C"	-0.186	-0.107	-0.356	0.896	0.438	3.172	3.392
"YML054C"	-0.49	-0.159	0.527	0.113	0.358	2.606	3.39
"YGR088W"	0.218	0.197	0.077	0.982	1.393	3.937	3.389
"YOR215C"	0.188	0.128	0.298	0.969	1.517	3.984	3.319
"YBR072W"	0.044	0.624	0.305	1.246	1.911	3.802	3.313
"YEL011W"	-0.254	-0.003	0.476	1.106	1.058	2.87	3.311
"YGR236C"	-0.068	-0.394	-0.439	-0.298	-0.53	3.681	3.301
"YLR267W"	-0.094	0.058	0.081	0.057	-0.514	1.986	3.277
"YDL085W"	-0.071	1.323	-0.032	0.096	0.065	2.197	3.261
"YFR015C"	-0.595	-0.231	0.525	2.102	2.158	3.517	3.261
"YNL160W"	0.305	0.388	1.045	1.705	2.056	3.239	3.244
"YGL259W"	-0.126	-0.2	0.401	0.891	0.673	2.059	3.24
"EMPTY"	0	0	1.379	0	0	0	3.222
"YBL049W"	-0.541	0.244	0.099	-0.008	-0.632	2.982	3.192
"YKL026C"	-0.131	-0.015	-0.07	0.483	0.878	3.843	3.191
"YCR010C"	-0.872	-0.475	0.142	-0.037	0.493	1.048	3.186
"EMPTY"	0	0	6.15	0	0	0	3.17
"YKL141W"	0.42	0.294	0.587	0.981	1.491	2.174	3.126
