YIR029W	YIR032C	(-)-ureidoglycolate
YMR220W	YNR043W	(R)-5-diphosphomevalonate
YMR208W	YMR220W	(R)-5-phosphomevalonate
YDL174C	YEL071W	(R)-lactate
YLR450W	YML075C	(R)-mevalonate
YLR450W	YMR208W	(R)-mevalonate
YML075C	YMR208W	(R)-mevalonate
YHR063C	YIL145C	(R)-pantoate
YDR272W	YOR040W	(S)-(2-hydroxyacyl)glutathione
YLR450W	YML075C	(S)-3-hydroxy-3-methylglutaryl-CoA
YLR450W	YML126C	(S)-3-hydroxy-3-methylglutaryl-CoA
YML075C	YML126C	(S)-3-hydroxy-3-methylglutaryl-CoA
YKL216W	YLR420W	(S)-dihydroorotate
YDL078C	YKL029C	(S)-malate
YDL078C	YKL085W	(S)-malate
YDL078C	YOL126C	(S)-malate
YDL078C	YPL262W	(S)-malate
YKL029C	YKL085W	(S)-malate
YKL029C	YOL126C	(S)-malate
YKL029C	YPL262W	(S)-malate
YKL085W	YOL126C	(S)-malate
YKL085W	YPL262W	(S)-malate
YOL126C	YPL262W	(S)-malate
YHR123W	YNL130C	1,2-diacylglycerol
YHR123W	YNR008W	1,2-diacylglycerol
YNL130C	YNR008W	1,2-diacylglycerol
YGR216C	YJR066W	1-phosphatidyl-1D-myo-inositol
YGR216C	YKL203C	1-phosphatidyl-1D-myo-inositol
YGR216C	YLR240W	1-phosphatidyl-1D-myo-inositol
YGR216C	YLR305C	1-phosphatidyl-1D-myo-inositol
YGR216C	YNL267W	1-phosphatidyl-1D-myo-inositol
YGR216C	YPL076W	1-phosphatidyl-1D-myo-inositol
YGR216C	YPL175W	1-phosphatidyl-1D-myo-inositol
YJR066W	YKL203C	1-phosphatidyl-1D-myo-inositol
YJR066W	YLR240W	1-phosphatidyl-1D-myo-inositol
YJR066W	YLR305C	1-phosphatidyl-1D-myo-inositol
YJR066W	YNL267W	1-phosphatidyl-1D-myo-inositol
YJR066W	YPL076W	1-phosphatidyl-1D-myo-inositol
YJR066W	YPL175W	1-phosphatidyl-1D-myo-inositol
YKL203C	YLR240W	1-phosphatidyl-1D-myo-inositol
YKL203C	YLR305C	1-phosphatidyl-1D-myo-inositol
YKL203C	YNL267W	1-phosphatidyl-1D-myo-inositol
YKL203C	YPL076W	1-phosphatidyl-1D-myo-inositol
YKL203C	YPL175W	1-phosphatidyl-1D-myo-inositol
YLR240W	YLR305C	1-phosphatidyl-1D-myo-inositol
YLR240W	YNL267W	1-phosphatidyl-1D-myo-inositol
YLR240W	YPL076W	1-phosphatidyl-1D-myo-inositol
YLR240W	YPL175W	1-phosphatidyl-1D-myo-inositol
YLR305C	YNL267W	1-phosphatidyl-1D-myo-inositol
YLR305C	YPL076W	1-phosphatidyl-1D-myo-inositol
YLR305C	YPL175W	1-phosphatidyl-1D-myo-inositol
YNL267W	YPL076W	1-phosphatidyl-1D-myo-inositol
YNL267W	YPL175W	1-phosphatidyl-1D-myo-inositol
YPL076W	YPL175W	1-phosphatidyl-1D-myo-inositol
YJR066W	YKL203C	1-phosphatidyl-1D-myo-inositol 3-phosphate
YJR066W	YLR240W	1-phosphatidyl-1D-myo-inositol 3-phosphate
YKL203C	YLR240W	1-phosphatidyl-1D-myo-inositol 3-phosphate
YDR208W	YFR019W	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
YDR208W	YPL268W	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
YFR019W	YPL268W	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate
YDR208W	YLR305C	1-phosphatidyl-1D-myo-inositol 4-phosphate
YDR208W	YNL267W	1-phosphatidyl-1D-myo-inositol 4-phosphate
YLR305C	YNL267W	1-phosphatidyl-1D-myo-inositol 4-phosphate
YER023W	YHR037W	1-pyrroline-5-carboxylate
YBL013W	YBR084W	10-formyltetrahydrofolate
YBL013W	YDR408C	10-formyltetrahydrofolate
YBL013W	YGR204W	10-formyltetrahydrofolate
YBL013W	YLR028C	10-formyltetrahydrofolate
YBL013W	YMR120C	10-formyltetrahydrofolate
YBR084W	YDR408C	10-formyltetrahydrofolate
YBR084W	YGR204W	10-formyltetrahydrofolate
YBR084W	YLR028C	10-formyltetrahydrofolate
YBR084W	YMR120C	10-formyltetrahydrofolate
YDR408C	YGR204W	10-formyltetrahydrofolate
YDR408C	YLR028C	10-formyltetrahydrofolate
YDR408C	YMR120C	10-formyltetrahydrofolate
YGR204W	YLR028C	10-formyltetrahydrofolate
YGR204W	YMR120C	10-formyltetrahydrofolate
YLR028C	YMR120C	10-formyltetrahydrofolate
YBR256C	YOL143C	2 6,7-dimethyl-8-(1-D-ribityl)lumazine
YJL130C	YJR109C	2 ADP
YJL130C	YOR303W	2 ADP
YJR109C	YOR303W	2 ADP
YJL130C	YJR109C	2 ATP
YJL130C	YOR303W	2 ATP
YJR109C	YOR303W	2 ATP
