YLR331C	Jumonji Interacting Protein
YLR332W	Protein required for mating
YLR333C	ribosomal protein S25B (S31B) (rp45) (YS23)
YLR333C	ribosomal protein S25B (S31B) (rp45) (YS23)
YLR334C	Hypothetical ORF
YLR335W	nucleoporin
YLR336C	Suppressor of Glycerol Defect
YLR337C	proline-rich protein verprolin
YLR338W	Hypothetical ORF
YLR339C	Protein required for cell viability
YLR295C	ATP synthase subunit h
YLR296W	Hypothetical ORF
YLR297W	Hypothetical ORF
YLR298C	U1 snRNP protein required for pre-mRNA splicing
YLR299W	gamma-glutamyltransferase homolog
YLR300W	exo-1,3-beta-glucanase
YLR301W	Hypothetical ORF
YLR302C	Hypothetical ORF
YLR303W	O-acetylhomoserine (thiol)-lyase
YLR304C	aconitase
YLR305C	phosphatidylinositol-4-kinase|similar to VPC34
YLR306W	ubiquitin-conjugating enzyme
YLR307W	chitin deacetylase
YLR308W	chitin deacetylase
YLR309C	Encodes a protein implicated in protein transport; induced under stress conditions.
YLR310C	adenylate cyclase regulatory protein
YLR311C	Hypothetical ORF
YLR312C	Hypothetical ORF
YLR313C	Spa2p homolog
YLR314C	Involved in proper bud growth
YLR315W	Non-essential Kinetochore Protein
YLR316C	tRNA-specific adenosine deaminase subunit
YLR274W	Member of complex that acts at ARS's to initiate replication
YLR275W	U1 snRNP protein of the Sm class
YLR276C	Dead-Box Protein 9
YLR277C	cleavage factor II (CF II) component|polyadenylation factor I (PF I)
YLR278C	Hypothetical ORF
YLR279W	Hypothetical ORF
YLR280C	Hypothetical ORF
YLR280C	Hypothetical ORF
YLR281C	Hypothetical ORF
YLR282C	Hypothetical ORF
YLR283W	Hypothetical ORF
YLR284C	d3,d2-Enoyl-CoA Isomerase
YLR285W	Putative nicotinamide N-methyltransferase
YLR286C	endochitinase
YLR287C	Hypothetical ORF
YLR287C-A	ribosomal protein S30A
YLR288C	Involved in checkpoint control and DNA repair
YLR289W	GTPase
YLR290C	Hypothetical ORF
YLR291C	43 kDa|negative regulator of GCN4 expression|translation initiation factor eIF2B subunit
YLR292C	protein involved in membrane protein insertion into the ER
YLR293C	GTP-binding protein
YLR294C	Hypothetical ORF
YLR253W	Hypothetical ORF
YLR254C	Hypothetical ORF
YLR255C	Hypothetical ORF
YLR256W	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YLR257W	Hypothetical ORF
YLR258W	glycogen synthase (UDP-glucose-starch glucosyltransferase)
YLR259C	chaperonin|groEL homolog
YLR260W	sphingoid long chain base (LCB) kinase
YLR261C	
YLR261C	
YLR262C	similar to the human GTPase, Rab6
YLR262C-A	Similar to C. elegans protein
YLR263W	meiosis-specific protein involved in similar chromosome synapsis and chiasmata formation; localizes to chromosome cores independently of Mei4p and Spo11p; mRNA is induced in meiosis
YLR264W	ribosomal protein S28B (S33B) (YS27)
YLR264W	ribosomal protein S28B (S33B) (YS27)
YLR265C	Mating-type regulated component of NHEJ
YLR266C	zinc finger transcription factor
YLR267W	bypass of PAM1
YLR268W	Identified in a screen for dense cells that accumulated invertase at the non-permissive temperature, SEC22 encodes a v-SNARE present on ER to Golgi vesicles and is involved in anterograde and retrograde transport between the ER and Golgi
YLR269C	Hypothetical ORF
YLR270W	trehalase-associated protein; hydrolase in the HIT superfamily.
YLR271W	Hypothetical ORF
YLR272C	loss of cohesion
YLR273C	similar to Gac1p, a putative type 1 protein phosphatase targeting subunit
YLR232W	Hypothetical ORF
YLR233C	Telomere elongation protein
YLR234W	DNA topoisomerase III
YLR235C	Involved in meiotic nuclear division.
YLR235C	Involved in meiotic nuclear division.
YLR236C	Hypothetical ORF
YLR237W	thiamine transporter
YLR238W	Pheromone Arrest
YLR239C	Lipoyl ligase
YLR240W	phosphatidylinositol 3-kinase
YLR241W	Hypothetical ORF
YLR242C	Protein involved in sterol distribution
YLR243W	Protein required for cell viability
YLR244C	methionine aminopeptidase
YLR245C	cytidine deaminase
YLR246W	Mutation has an Effect on Ras Function. Implicated in signaling pathway.
YLR247C	Hypothetical ORF
YLR248W	Serine/threonine protein kinase
YLR249W	Translation elongation factor 3 (EF-3)
YLR250W	secretory protein
YLR251W	stress-induced yeast MPV17 homolog
YLR252W	Hypothetical ORF
YLR209C	purine nucleoside phosphorylase
YLR210W	B-type cyclin
YLR211C	Hypothetical ORF
YLR212C	interacts with Spc98p and Spc97p, the Tub4p-Spc98p-Spc97p complex may be part of the microtubule attachment site at the spindle pole body|gamma tubulin
YLR213C	CRH-Related
YLR214W	cupric reductase|ferric reductase
YLR215C	Product of gene unknown
YLR216C	cyclophilin 40|peptidyl-prolyl cis-trans isomerase (PPIase)
YLR217W	Hypothetical ORF
YLR218C	Hypothetical ORF
YLR219W	Meiotic Sister-Chromatid recombination
YLR220W	transmembrane Ca2+ transporter (putative)
YLR221C	RiboSome Assembly
YLR222C	U3 snoRNP protein
YLR223C	weak RNA-dependent ATPase activity which is not specific for rRNA
YLR224W	Hypothetical ORF
YLR225C	Hypothetical ORF
YLR226W	bypass UAS Requirement
YLR227C	Component of the meiotic outer plaque, a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane
YLR228C	involved in cell wall biogenesis (putative)
YLR229C	Rho subfamily of Ras-like proteins
YLR230W	Protein required for cell viability
YLR231C	Kynureninase
YLR189C	UDP-glucose:sterol glucosyltransferase
YLR190W	Hypothetical ORF
YLR191W	contains Src homology 3 (SH3) domain
YLR192C	Substoichiometric component of eukaryotic translation initiation factor 3 (eIF3)
YLR193C	Hypothetical ORF
YLR194C	Hypothetical ORF
YLR195C	N-myristoyl transferase
YLR196W	periodic tryptophan proteinProtein with periodic trytophan residues that resembles members of beta-transducin superfamily because of presence of WD-40 repeats
YLR197W	U3 snoRNP protein
YLR198C	Protein required for cell viability
YLR199C	Hypothetical ORF
YLR200W	bovine NABC complex component homolog|non-native actin binding complex polypeptide 6
YLR201C	Hypothetical ORF
YLR202C	Hypothetical ORF
YLR202C	Hypothetical ORF
YLR202C	Hypothetical ORF
YLR202C	Hypothetical ORF
YLR203C	Protein required for the maturation and translation of COX1 mRNA
YLR204W	Product of gene unknown
YLR205C	Homology to heme oxygenases
